gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	protein_id	gene_symbol	product	neg_log10_padj	deg_class	label
gene-ACSAL1_RS11190	6131.2694100973495	-6.322305036535384	0.1937716157560668	-32.62761169568995	1.6651525813750658e-233	1.0816831168612429e-231	WP_209387406.1	NA	beta-ketoacyl synthase N-terminal-like domain-containing protein	230.96589994879955	Down	NA
gene-ACSAL1_RS18505	2443.0060604480577	-5.0134330936501055	0.1548667230899347	-32.37256522008726	6.679394312433097e-230	4.2538573974083725e-228	WP_209387745.1	NA	DNRLRE domain-containing protein	227.3712170730973	Down	NA
gene-ACSAL1_RS06745	1727.3095619480448	-5.56770355087309	0.17446560719465137	-31.91290043006127	1.768422000135511e-223	1.10458358777695e-221	WP_014417556.1	NA	S8 family peptidase	220.95680141393768	Down	NA
gene-ACSAL1_RS01600	1690.8266771000433	-5.210545311313145	0.1638287234516889	-31.804833740584396	5.549846242460374e-222	3.4011133199077917e-220	WP_209387859.1	amyE	alpha-amylase	219.46837889779655	Down	NA
gene-ACSAL1_RS11240	1383.6347981533177	-7.397271283071189	0.2331389325146952	-31.7290261359712	6.182617084800104e-221	3.7187296835982843e-219	WP_209387414.1	NA	LnmK family bifunctional acyltransferase/decarboxylase	218.42960538958627	Down	NA
gene-ACSAL1_RS05805	2947.789042641998	-4.680521267366401	0.14843432334864873	-31.532607565250238	3.105154913544432e-218	1.8337351198531482e-216	WP_017417453.1	oppF	oligopeptide ABC transporter ATP-binding protein OppF	215.73666339728874	Down	NA
gene-ACSAL1_RS05685	1169.8419553960705	-6.845535669726769	0.2194775096136491	-31.19014646091579	1.449310312153616e-213	8.405999810490975e-212	WP_095060858.1	NA	carbamoyl phosphate synthase small subunit	211.07541062412153	Down	NA
gene-ACSAL1_RS05760	2196.5316105161987	-8.836432483973539	0.2848739848692403	-31.01874145520708	3.0128133584384875e-211	1.7167750505628434e-209	WP_209388096.1	NA	peptide-binding protein	208.76528660681896	Down	NA
gene-ACSAL1_RS11230	1443.351448221912	-7.962677155462122	0.2577957760893102	-30.887539261712146	1.7560271868531811e-209	9.833752246377813e-208	WP_209387413.1	NA	long-chain fatty acid--CoA ligase	207.00728073761454	Down	NA
gene-ACSAL1_RS14550	2606.61699949673	-4.995831377819	0.1626138254274512	-30.7220580088244	2.8888576449896444e-207	1.5903406154112484e-205	WP_014418745.1	ycaC	isochorismate family cysteine hydrolase YcaC	204.7985098495468	Down	NA
gene-ACSAL1_RS17735	1711.8208284665575	-6.45770204650398	0.21146055064350217	-30.538566303986	8.021111463082092e-205	4.3420950053484384e-203	WP_003151018.1	NA	hypothetical protein	202.3623006783834	Down	NA
gene-ACSAL1_RS03500	3633.187882156629	5.365230475091405	0.17578692640055896	30.521214432442257	1.3631657954236847e-204	7.258299186124798e-203	WP_007408914.1	putP	sodium/proline symporter PutP	202.13916513420585	Up	putP
gene-ACSAL1_RS09845	1123.0021169915162	-6.265436156197081	0.2053469168161532	-30.511469338526844	1.83586004488769e-204	9.617537783540671e-203	WP_209387346.1	NA	C40 family peptidase	202.0169360988448	Down	NA
gene-ACSAL1_RS11195	4545.939543675115	-6.537803008615538	0.2144421678098959	-30.4874879571789	3.81796399960005e-204	1.9683725509049143e-202	WP_209387407.1	NA	type I polyketide synthase	201.70589269986314	Down	NA
gene-ACSAL1_RS13290	6903.1600028737075	-5.165757003420223	0.17394812592827258	-29.697112146815083	8.367049017718805e-194	4.2462773764922936e-192	WP_003152471.1	speD	adenosylmethionine decarboxylase	191.37199164014046	Down	NA
gene-ACSAL1_RS05785	16096.542870791873	-4.369237861431171	0.14715911646016633	-29.69056872948714	1.0163677258511762e-193	5.0787113439455694e-192	WP_209388097.1	NA	peptide ABC transporter substrate-binding protein	191.29424647023777	Down	NA
gene-ACSAL1_RS05800	1552.8718362470852	-5.055819567047458	0.17227937360646614	-29.34663309489592	2.6379935533237516e-189	1.2982125850296279e-187	WP_003155039.1	NA	ABC transporter ATP-binding protein	186.8866541850813	Down	NA
