Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR15049594,2021-10-24 12:44:48,2021-07-07 03:49:56,19097295,5729188500,19097295,300,1691,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-zq-38/SRR015/15049/SRR15049594/SRR15049594.lite.1,SRX11360065,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406429,SAMN20080027,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419889,,,,,,,no,,,,,GEO,SRA1254946,,public,0C8B23E90E04D9EDDC4A891F153F63BF,9DBD32E0D773BE23DBD7CA2DEB1726DA
SRR15049595,2021-10-24 12:44:48,2021-07-06 13:45:29,14226653,4267995900,14226653,300,1253,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-924/SRR015/15049/SRR15049595/SRR15049595.lite.1,SRX11360066,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina NovaSeq 6000,SRP327149,PRJNA744162,3,744162,SRS9406430,SAMN20080057,simple,224308,Bacillus subtilis subsp. subtilis str. 168,GSM5419890,,,,,,,no,,,,,GEO,SRA1254946,,public,44809BD8370C68B6704350B127B58C12,26FAA729F6F870409D1AAC5DB537F0BB
SRR13016532,2021-05-05 17:55:15,2020-11-10 10:26:14,26865312,4055953707,26865312,150,1710,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13016/SRR13016532/SRR13016532.lite.1,SRX9467482,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291968,PRJNA675787,3,675787,SRS7679590,SAMN16722302,simple,1390,Bacillus amyloliquefaciens,GSM4890892,,,,,,,no,,,,,GEO,SRA1156835,,public,7EEA947F277F711C213EAAD806AA87B0,9D59971E422CBD917E9BF7CB0839BED1
SRR13016533,2021-05-05 17:55:15,2020-11-10 10:30:41,30188820,4557024756,30188820,150,1904,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13016/SRR13016533/SRR13016533.lite.1,SRX9467483,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291968,PRJNA675787,3,675787,SRS7679592,SAMN16722327,simple,1390,Bacillus amyloliquefaciens,GSM4890893,,,,,,,no,,,,,GEO,SRA1156835,,public,7B12273A797A62F8A628D5143C4F6861,8B4257ACB345C0D93309304A0753C74B
SRR13016534,2021-05-05 17:55:15,2020-11-10 10:32:40,40932194,6185445680,40932194,151,2395,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13016/SRR13016534/SRR13016534.lite.1,SRX9467484,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291968,PRJNA675787,3,675787,SRS7679594,SAMN16722326,simple,1390,Bacillus amyloliquefaciens,GSM4890894,,,,,,,no,,,,,GEO,SRA1156835,,public,C71CADA2AE4356E765B9DF002F7BD9DE,4A5E24FC5EEE9900D50422FA889AC79B
SRR13016535,2021-05-05 17:55:15,2020-11-10 10:32:05,39288737,5937795789,39288737,151,2293,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13016/SRR13016535/SRR13016535.lite.1,SRX9467485,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291968,PRJNA675787,3,675787,SRS7679593,SAMN16722325,simple,1390,Bacillus amyloliquefaciens,GSM4890895,,,,,,,no,,,,,GEO,SRA1156835,,public,D6168067282C064DE993D367576B90C2,B900949621C0E9C530F1DA9171CB94AF
SRR13016529,2021-05-05 17:55:15,2020-11-10 10:44:59,43890902,6631497679,43890902,151,2561,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13016/SRR13016529/SRR13016529.lite.1,SRX9467479,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291968,PRJNA675787,3,675787,SRS7679588,SAMN16722305,simple,1390,Bacillus amyloliquefaciens,GSM4890889,,,,,,,no,,,,,GEO,SRA1156835,,public,89A9FBEFD2B4BED4FE57D8BB0BAF350B,3204344982A6C9168C277BE6F7CEFB33
SRR10677709,2020-03-25 17:13:59,2019-12-13 00:54:24,39496559,5962051785,39496559,150,2445,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos9/sra-pub-zq-922/SRR010/677/SRR10677709.sralite.1,SRX7354737,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP174365,PRJNA511580,3,511580,SRS5814113,SAMN13549496,simple,535026,Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,GSM4216713,,,,,,,no,,,,,GEO,SRA826764,,public,DC7FDC539812F3A5A1390EE8855FE5A4,AEA55E6564FA73FC03F48EC1338D5EF4
SRR10677710,2020-03-25 17:13:59,2019-12-13 01:03:00,41331218,6240872424,41331218,150,2555,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR010/677/SRR10677710.sralite.1,SRX7354738,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 550,SRP174365,PRJNA511580,3,511580,SRS5814115,SAMN13549495,simple,535026,Bacillus subtilis subsp. subtilis NCIB 3610 = ATCC 6051 = DSM 10,GSM4216714,,,,,,,no,,,,,GEO,SRA826764,,public,876913F710795D893CA24F82E0106529,616C840D843DBB22F256187F2948C8D2
SRR13016526,2021-05-05 17:55:15,2020-11-10 10:32:04,32907534,4968523204,32907534,150,2080,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-zq-1/SRR013/13016/SRR13016526/SRR13016526.lite.1,SRX9467476,,RNA-Seq,cDNA,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP291968,PRJNA675787,3,675787,SRS7679585,SAMN16722308,simple,1390,Bacillus amyloliquefaciens,GSM4890886,,,,,,,no,,,,,GEO,SRA1156835,,public,1F05D1042A688AA747920AF92D7DC49B,6D1327738F8B76D2876C367D9B7E9250
